用例编号,所属产品,所属模块,相关需求,用例标题,前置条件,步骤,预期,实际情况,关键词,优先级,用例类型,适用阶段,用例状态,B,R,S,结果,由谁创建,创建日期,最后修改者,修改日期,用例版本,相关用例
1,教学综合信息服务平台,学生管理,,选课的提交,已登录,"1. 点击选课
2. 点击可选课程
3. 选择课程
4. 点击提交
","1. 跳转到选课页面
2. 跳转到可选课程页面
3. 所选课程被选中
4. 提交成功
",,,3,功能测试,,正常,0,1,4,通过,杨凯静,2018/12/4,杨凯静,2018/12/6,1,
2,教学综合信息服务平台,学生管理,,未选课程的选课提交,已登录,"1. 点击选课
2. 点击可选课程
3. 不选择课程
4. 点击提交
","1. 跳转到选课页面
2. 跳转到可选课程页面
3. 没有显示选中课程
4. 提示未选择课程
",,,3,功能测试,,正常,1,2,3,失败,杨凯静,2018/12/1,杨凯静,2018/12/4,3,
3,教学综合信息服务平台,学生管理,,可选课程的页面切换,已登录，处于选课课程页面,"1. 点击下一页

","1. 跳转到对应界面

",,,3,功能测试,,正常,0,2,4,通过,杨凯静,2018/12/1,杨凯静,2018/12/4,2,
4,教学综合信息服务平台,学生管理,,可选课程的页面连续切换,已登录，处于选课课程页面，可选课程页面在10页以上,"1. 连续10次点击下一页

","1. 跳转到对应界面

",,,3,功能测试,,正常,0,1,1,通过,杨凯静,2018/12/1,,0000-00-00,1,
5,教学综合信息服务平台,学生管理,,可选课程的首页切换,已登录，处于选课课程任一页的页面,"1. 点击首页
","1. 跳转到对应首页面
",,,3,功能测试,,正常,1,2,3,通过,杨凯静,2018/12/1,杨凯静,2018/12/4,2,
6,教学综合信息服务平台,学生管理,,正常操作下的课表查询,已登录，处于查询课表页面,"1. 选择学年           2.选择学期           3.选择周次           4.点击查询
","1. 显示所选学年
2. 显示所选学期
3. 选择所选周次
4. 显示课程
",,,3,功能测试,,正常,0,1,1,通过,杨凯静,2018/12/1,,0000-00-00,1,
7,教学综合信息服务平台,学生管理,,未选择学年下的课表查询,已登录，处于查询课表页面,"1. 不选择学年           2.选择学期           3.选择周次           4.点击查询
","1. 操作框显示“学年”
2. 显示所选学期
3. 选择所选周次
4. 不显示课程
",,,3,功能测试,,正常,0,1,1,阻塞,杨凯静,2018/12/1,杨凯静,2018/12/6,4,
8,教学综合信息服务平台,学生管理,,未选择学期下的课表查询,已登录，处于查询课表页面,"1. 选择学年           2.不选择学期           3.选择周次           4.点击查询
","1. 显示所选学年
2. 操作框显示“学期”
3. 选择所选周次
4. 显示课程
",,,3,功能测试,,正常,0,2,6,阻塞,杨凯静,2018/12/1,杨凯静,2018/12/6,3,
9,教学综合信息服务平台,学生管理,,未选择周次下的课表查询,已登录，处于查询课表页面,"1. 选择学年           2.选择学期           3.不选择周次           4.点击查询
","1. 显示所选学年
2. 显示所选学期
3. 操作框显示“周次”
4. 显示课程
","1. 
2. 
3. 
4. 
",,3,功能测试,,正常,1,1,4,阻塞,杨凯静,2018/12/1,杨凯静,2018/12/4,2,
10,教学综合信息服务平台,学生管理,,正常操作下的成绩查询,已登录，处于查询成绩页面,"1. 选择学年           2.选择学期                     3.点击查询
","1. 显示所选学年
2. 显示所选学期
4. 显示课程成绩
",,,3,功能测试,,正常,0,1,1,通过,杨凯静,2018/12/1,杨凯静,2018/12/4,1,
11,教学综合信息服务平台,学生管理,,不选择学年和学期下的成绩查询,已登录，处于查询成绩页面,"1. 不选择学年           2.不选择学期                     3.点击查询
","1. 操作框显示“学年”
2. 1. 操作框显示“学期”
4. 提示未选择学年和学期
",,,3,功能测试,,正常,0,1,1,通过,杨凯静,2018/12/1,,0000-00-00,1,
12,教学综合信息服务平台,学生管理,,不选择学年的成绩查询,已登录，处于查询成绩页面,"1. 不选择学年           2.选择学期                     3.点击查询
","1. 操作框显示“学年”
2. 显示所选学期
3. 提示未选择学年
",,,3,功能测试,,正常,0,2,1,通过,杨凯静,2018/12/1,,0000-00-00,1,
13,教学综合信息服务平台,学生管理,,不选择学期的成绩查询,已登录，处于查询成绩页面,"1. 选择学年           2.不选择学期                     3.点击查询
","1. 显示所选学年
2.操作框显示“学期”
4. 提示未选学期
",,,3,功能测试,,正常,0,1,4,通过,杨凯静,2018/12/1,杨凯静,2018/12/6,2,
14,教学综合信息服务平台,学生管理,,正常操作下的查询空闲教室查询,已登录，处于查询空闲教室页面,"1. 选择周次           2.选择星期                     3.选择时间段        4.点击查询
","1. 显示所选周次
2. 显示所选星期
3. 显示所选时间段4.显示选定时间的空闲教室
",,,3,功能测试,,正常,0,2,1,通过,杨凯静,2018/12/1,杨凯静,2018/12/6,1,
15,教学综合信息服务平台,学生管理,,直接查询的查询空闲教室查询,已登录，处于查询空闲教室页面,"1. 不选择周次           2.不选择星期                     3.不选择时间段        4.点击查询
","1. 显示""周次""
2. 星期前未有选中
3. 时间段未有选中4.显示所有空闲教室
",,,3,功能测试,,正常,0,2,1,通过,杨凯静,2018/12/1,,0000-00-00,1,
16,教学综合信息服务平台,学生管理,,不选周次的查询空闲教室查询,已登录，处于查询空闲教室页面,"1. 不选择周次           2.选择星期                     3.选择时间段        4.点击查询
","1. 显示""周次""
2. 星期前选中
3. 时间段有选中    4.显示在对应星期时间段下的空闲教室
",,,3,功能测试,,正常,0,2,3,通过,杨凯静,2018/12/1,,0000-00-00,1,
17,教学综合信息服务平台,学生管理,,不选星期的查询空闲教室查询,已登录，处于查询空闲教室页面,"1. 选择周次           2.不选择星期                     3.选择时间段        4.点击查询
","1. 显示所选周次
2. 星期前未有选中
3. 时间段有选中    4.显示所选周次下的对应时间的空闲教室
",,,3,功能测试,,正常,0,1,4,通过,杨凯静,2018/12/1,杨凯静,2018/12/6,2,
18,教学综合信息服务平台,学生管理,,不选时间段的查询空闲教室查询,已登录，处于查询空闲教室页面,"1. 选择周次           2.选择星期                     3.不选择时间段        4.点击查询
","1. 显示所选周次
2. 所选星期被勾选
3. 时间段没有勾选项    4.显示所选学期周次下的所有的空闲教室
",,,3,功能测试,,正常,0,1,4,通过,杨凯静,2018/12/1,杨凯静,2018/12/9,2,
19,教学综合信息服务平台,学生管理,,对任课教师评价,已登录，进入评价页面,"1. 点击任一要评价老师
2. 对所给所有评分项进行评分
3.点击保存","1. 所选老师被勾选
2. 显示所评分数
3. 提示保存成功
","1. 
2. 
",,3,功能测试,,正常,1,1,2,通过,杨凯静,2018/12/1,杨凯静,2018/12/9,3,
20,教学综合信息服务平台,学生管理,,不选择教师进行评价,已登录，进入评价页面,"1.不 点击任一要评价老师
2. 对所给所有评分项进行评分
3.点击保存","1. 未有老师被勾选
2. 显示所评分数
3. 提示错误
",,,3,功能测试,,正常,0,1,2,通过,杨凯静,2018/12/1,杨凯静,2018/12/9,2,
21,教学综合信息服务平台,学生管理,,不评分完的对任课教师评价,已登录，进入评价页面,"1. 点击任一要评价老师
2. 对所给评分项部分进行评分
3.点击保存","1. 所选老师被勾选
2. 显示所评分数
3. 提示不能保存
",,,3,功能测试,,正常,0,1,2,通过,杨凯静,2018/12/1,杨凯静,2018/12/8,2,
22,教学综合信息服务平台,学生管理,,评分超出的对任课教师评价,已登录，进入评价页面,"1. 点击任一要评价老师
2. 对所给所有评分项进行评分，其中一项评分40
3.点击保存","1. 所选老师被勾选
2. 显示所评分数
3. 提示错误
",,,3,功能测试,,正常,0,1,2,通过,杨凯静,2018/12/1,杨凯静,2018/12/9,2,
23,教学综合信息服务平台,学生管理,,全评满分的对任课教师评价,已登录，进入评价页面,"1. 点击任一要评价老师
2. 对所给所有评分项评满分
3.点击保存","1. 所选老师被勾选
2. 显示所评分数
3. 提示不能全满分
",,,3,功能测试,,正常,0,3,5,通过,杨凯静,2018/12/1,杨凯静,2018/12/8,4,
24,教学综合信息服务平台,学生管理,,密码修改,已登录，进入个人中心页面的修改密码界面,"1. 输入原来的密码
2. 输入8位由数字和字母组成的新密码
3. 重复输入新密码
4. 点击确认
","1. 显示加密的原密码
2. 显示加密的新密码
3. 显示加密的新密码
4. 显示修改成功
",,,3,功能测试,,正常,0,2,4,通过,杨凯静,2018/12/1,杨凯静,2018/12/9,4,
25,教学综合信息服务平台,学生管理,,新密码全是数字的修改,已登录，进入个人中心页面的修改密码界面,"1. 输入原来的密码
2. 输入8位由数字组成的新密码
3. 重复输入新密码
4. 点击确认
","1. 显示加密的原密码
2. 显示不符合要求
3. 显示不符合要求
4. 不能确认
",,,3,功能测试,,正常,0,1,1,通过,杨凯静,2018/12/1,,0000-00-00,1,
26,教学综合信息服务平台,学生管理,,新密码全是字母的修改,已登录，进入个人中心页面的修改密码界面,"1. 输入原来的密码
2. 输入8位由字母组成的新密码
3. 重复输入新密码
4. 点击确认
","1. 显示加密的原密码
2. 显示不符合要求
3. 显示不符合要求
4. 不能确认
",,,3,功能测试,,正常,0,2,6,通过,杨凯静,2018/12/1,杨凯静,2018/12/8,2,
27,教学综合信息服务平台,学生管理,,退出登录,已登录,"1. 退出登录
",1. 退出登录，跳转到登录页面,,,3,功能测试,,正常,0,3,2,通过,杨凯静,2018/12/1,杨凯静,2018/12/8,3,
28,教学综合信息服务平台,教师管理,,教师登录,,"1. 输入用户名
2. 输入密码           3.选择教师
4. 点击登录
","1. 显示用户名
2. 显示加密的密码3.显示身份教师
4. 跳转到教师页面
",,,3,功能测试,,正常,0,1,4,通过,杨凯静,2018/12/1,杨凯静,2018/12/8,2,
29,教学综合信息服务平台,教师管理,,密码错误的教师登录,,"1. 输入用户名
2. 输入错误的密码3.选择身份为教师
4. 点击登录
","1. 显示用户名
2. 显示加密的密码3.显示身份为教师
4.提示密码错误",,,3,功能测试,,正常,0,1,1,通过,杨凯静,2018/12/1,,0000-00-00,1,
30,教学综合信息服务平台,教师管理,,用户名错误的教师登录,,"1. 输入错误的用户名
2. 输入密码            3.选择身份为教师
4. 点击登录
","1. 显示用户名
2. 显示加密的密码3.显示身份为教师
4.提示用户名错误","1. 
2. 
",,3,功能测试,,正常,1,1,2,通过,杨凯静,2018/12/1,杨凯静,2018/12/8,3,
31,教学综合信息服务平台,教师管理,,身份错误的教师登录,,"1. 输入用户名
2. 输入密码            3.选择身份为学生
5. 点击登录
","1. 显示用户名
2. 显示加密的密码3.显示身份为学生
5.提示用户名不存在","1. 
2. 
3. 
",,3,功能测试,,正常,1,1,3,通过,杨凯静,2018/12/1,杨凯静,2018/12/8,3,
32,教学综合信息服务平台,教师管理,,调课申请跳转,已登录，当前教师有安排的课程,"1.点击调课申请            2.选择星期
3. 点击查找           4.点击所要调课的调课申请
","1. 跳转到课程信息页面         2.显示所选星期
3. 显示所选星期内的课程    4.跳转到调课申请页面
",,,3,功能测试,,正常,0,1,2,通过,杨凯静,2018/12/1,杨凯静,2018/12/8,2,
33,教学综合信息服务平台,教师管理,,调课申请,已登录，进入某节课程的调课申请页面，当前教师有安排的课程,"1. 选择星期
2. 选择时间           3.选择教室            4.填写申请理由    5.点击提交
","1. 显示所选星期
2. 显示所选时间段3.显示所选教室    4.显示申请理由    5.显示提交成功
",,,3,功能测试,,正常,0,1,2,通过,杨凯静,2018/12/1,杨凯静,2018/12/8,2,
34,教学综合信息服务平台,教师管理,,不修改任何信息的调课申请,已登录，进入某节课程的调课申请页面，当前教师有安排的课程,"1. 不选择星期
2. 不选择时间           3.不2选择教室            4.不填写申请理由    5.点击提交
","1. 显示课程原来安排的星期
2. 显示课程原来安排的时间段           3.显示课程原来安排的教室    4.理由 为空           5.显示未修改信息
",,,3,功能测试,,正常,0,1,4,失败,杨凯静,2018/12/1,杨凯静,2018/12/8,2,
35,教学综合信息服务平台,教师管理,,不写理由的调课申请,已登录，进入某节课程的调课申请页面，当前教师有安排的课程,"1. 选择星期
2. 选择时间           3.选择教室            4.不填写申请理由    6.点击提交
","1. 显示修改的星期
2. 显示修改的的时间段           3.显示修改的教室    4.理由为空           6.显示理由为空
",,,3,功能测试,,正常,0,1,3,失败,杨凯静,2018/12/1,杨凯静,2018/12/8,3,
36,教学综合信息服务平台,教师管理,,课程查询,,,"1. 出现信息查询选项
2. 跳转到课程查询页面
3.显示所选学年
4. 显示所选学期    5.显示对应的课程
",,,3,功能测试,,正常,0,1,4,通过,杨凯静,2018/12/1,杨凯静,2018/12/8,2,
37,教学综合信息服务平台,教师管理,,查看教学班,已登录，当前教师有安排的课程，处于信息查询-课程查询界面,"1. 点击查看教学班

","1. 跳转到教学班查询界面，显示对应的教学班信息

",,,3,功能测试,,正常,0,1,2,通过,杨凯静,2018/12/1,杨凯静,2018/12/8,3,
38,教学综合信息服务平台,教师管理,,查看学生名单,,,,,,3,功能测试,,正常,0,1,5,通过,杨凯静,2018/12/1,杨凯静,2018/12/8,2,
39,教学综合信息服务平台,教师管理,,教师课表查询,已登录,"1. 点击信息查询    2.点击课表查询
3. 选择学年
4. 选择学期
5.点击查找
","1. 出现课表查询选项
2. 跳转到课表查询页面
3. 显示选择的学年
4. 显示选择的学期
6.显示课表
","1. 
2. 
",,3,功能测试,,正常,1,1,2,通过,杨凯静,2018/12/1,杨凯静,2018/12/8,3,
40,教学综合信息服务平台,教师管理,,教学班查询,已登录,"1. 点击信息查询    2.点击教学班查询
3. 选择学年
4. 选择学期            5.选择课程
6.点击查找
","1. 出现课表查询选项
2. 跳转到课表查询页面
3. 显示选择的学年
4. 显示选择的学期5.显示选择的课程
6.显示教学班
",,,3,功能测试,,正常,0,1,1,通过,杨凯静,2018/12/1,,0000-00-00,1,
41,教学综合信息服务平台,教师管理,,成绩查询,已登录,"1. 点击成绩查询
2. 选择学年           3.选择学期           4.选择课程           5.点击查找
","1. 跳转到成绩查询界面
2. 显示选择的学年3.显示选择的学期4.显示选择的课程5.显示查找科目的成绩信息
","1. 
2. 
",,3,功能测试,,正常,1,1,2,通过,杨凯静,2018/12/1,杨凯静,2018/12/4,2,
42,教学综合信息服务平台,教师管理,,成绩录入,已登录,"1. 点击成绩录入
2. 点击录入成绩
3. 选择学年、学期、课程    4.点击查找
5.录入成绩","1. 出现录入成绩的选项
2. 跳转到录入成绩界面
3. 显示选择的学年、学期、课程        4.显示所选择的班级信息    5.进入录入页面
",,,3,功能测试,,正常,0,2,3,通过,杨凯静,2018/12/1,杨凯静,2018/12/8,3,
43,教学综合信息服务平台,教师管理,,查询课程成绩比例,已登录，已有课程,"1. 点击成绩录入
2. 点击课程成绩比例
3. 选择学年、学期4.点击查找","1. 出现课程成绩比例选项
2. 跳转到课程成绩比例页面
3. 显示现在是学年、学期    4.显示查找到课程成绩比例
",,,3,功能测试,,正常,0,1,3,通过,杨凯静,2018/12/1,杨凯静,2018/12/8,2,
44,教学综合信息服务平台,教师管理,,基本信息修改,已登录,"1. 点击个人中心
2. 点击基本信息
3. 修改任意一项信息
4. 点击保存
","1. 跳转到个人中心界面
2. 跳转基本信息界面
3. 
4. 提示保存成功
",,,3,功能测试,,正常,0,1,8,通过,杨凯静,2018/11/30,杨凯静,2018/12/8,4,
45,教学综合信息服务平台,教师管理,,修改密码,已登录,"1. 点击个人中心
2. 点击修改密码
3. 输入旧密码
4. 输入六位新密码
5. 重复输入新密码
6. 点击保存
","1. 跳转到个人信息界面
2. 跳转到修改密码界面
3. 显示加密的密码
4. 显示加密的密码，显示密码强度
5. 显示加密的密码
6. 保存成功
",,,3,功能测试,,正常,0,1,8,通过,杨凯静,2018/11/30,杨凯静,2018/12/8,2,
46,教学综合信息服务平台,教师管理,,,已登录，进入个人中心-修改密码界面,"1. 输入旧密码
2. 输入六位数字密码           3. 重复输入新密码4.点击保存","1. 显示加密的密码
2. 显示新加密的密码            3            .4.提示保存成功
",,,3,功能测试,,正常,0,1,2,通过,杨凯静,2018/11/30,,0000-00-00,1,
47,教学综合信息服务平台,教师管理,,修改密码为全字母,已登录，进入个人中心-修改密码界面,"1. 输入旧密码
2. 输入六位字母密码           3. 重复输入新密码4.点击保存","1. 显示加密的密码
2. 显示新加密的密码            3            .4.提示保存成功
",,,3,功能测试,,正常,0,1,4,通过,杨凯静,2018/11/30,杨凯静,2018/12/9,3,
48,教学综合信息服务平台,教师管理,,修改密码有特殊字符,已登录，进入个人中心-修改密码界面,"1. 输入旧密码
2. 输入六位密码，其中一位是】           3. 重复输入新密码4.点击保存","1. 显示加密的密码
2. 显示新加密的密码            3            .4.提示保存成功
",,,3,功能测试,,正常,0,2,10,通过,杨凯静,2018/11/30,杨凯静,2018/12/9,4,
49,教学综合信息服务平台,教师管理,,修改密码有空格,已登录，进入个人中心-修改密码界面,"1. 输入旧密码
2. 输入六位密码，其中一位是空格           3. 重复输入新密码4.点击保存","1. 显示加密的密码
2. 显示新加密的密码            3            .4.提示保存成功
",,,3,功能测试,,正常,0,1,1,通过,杨凯静,2018/11/30,,0000-00-00,1,
50,教学综合信息服务平台,教师管理,,修改密码为11位,已登录，进入个人中心-修改密码界面,"1. 输入旧密码
2. 输入十一位密码，其中一位是空格           3. 重复输入新密码4.点击保存","1. 显示加密的密码
2. 显示新加密的密码            3            .4.提示保存成功
",,,3,功能测试,,正常,0,1,7,通过,杨凯静,2018/11/30,杨凯静,2018/12/9,4,
51,教学综合信息服务平台,教师管理,,退出登录,已登录,"1. 点击退出登录
",1. 退出登录，跳转到登录页面,,,3,功能测试,,正常,0,1,4,通过,杨凯静,2018/11/30,杨凯静,2018/12/9,3,
52,教学综合信息服务平台,毕业生管理,,毕业生登录,,"1. 输入用户名
2. 输入密码           3.选择身份为毕业生           4.点击登录","1. 显示用户名
2. 显示加密的密码3.显示身份为毕业生
4.登陆成功，跳转到毕业生页面",,,3,功能测试,,正常,0,1,2,通过,杨凯静,2018/11/30,杨凯静,2018/12/9,2,
53,教学综合信息服务平台,毕业生管理,,毕业生登录用户名错误,"
		","1. 输入错误的用户名
2. 输入密码           3.选择身份为毕业生           4.点击登录","1. 显示用户名
2. 显示加密的密码3.显示身份为毕业生
4.提示用户名不存在",,,3,功能测试,,正常,0,1,3,通过,杨凯静,2018/11/30,杨凯静,2018/12/9,2,
